User,rating,Tanggal,ulasan
Sri Wiwoho Mudjanarko,4,3 tahun lalu,"Enak tepi jalan, santai, sejuk dan ada kolam renang. Mungkin tempat parkir mobil perlu diperluas"
Dony Radjah,5,4 tahun lalu,"Nyaman untuk liburan sambil kerja
Soto ayam sama sambal kecap nya mantul

Rekomen untuk liburan pokoknya 👍🏼"
sifera kristiana,5,6 tahun lalu,"Tempat nyaman, pedesaan banget.
Hanya sj agak sedikit kecewa. Krn musim holiday malah sebagian kolam renang ada perbaikan."
Pengguna Google,5,2 tahun lalu,"Tmpat yg nyaman untuk bermain anak2, di dukung udara yg sejuk dn suasana yg asri membuat betah berlama2"
Afik Achmad,5,setahun lalu,Tempatnya adem. Enak buat santai bersama keluarga.
Efi NS Official channel,4,7 tahun lalu,"Tempatnya cozy dan cocok buat outbond anak anak, homestay plus resto plus outbond."
Yanto Thermo,5,2 tahun lalu,"Outing class SDN LOWOKWARU 3 Malang. Trima kasih Taman Dolan sudah memberi banyak ilmu tetang alam mengenal lumpur mengenal air sungai dolanan tradisional,  didampingi guide yg ramah dan humbble ,anak2 pulang dengan banyak cerita dan kenangan. Pelayanan yg nice banget ."
Theresia Dyah,4,2 tahun lalu,"Tempat enak,tapi ngga direkomendasikan buat orang tua yaa,karena area naik turunnya tajam."
Wahyu Ika,5,2 tahun lalu,Tempat keren bs belanja selada air walau jalannya naik turun
Adiba Family,5,Diedit 7 tahun lalu,Tempatnya enak untuk acara kumpul keluarga besar. Cocok juga untuk mengajak anak untuk berenang.
R.A. Sista Paramita,5,5 tahun lalu,"Tempat wisata di Batu,  yang menyediakan beragam fasilitas kolam renang,  outbond,  penginapan bentuk cottage,"
Ratna Haryani,5,setahun lalu,Staff nya keren. Makanannya enak. View-nya bagus.
baharuddin alwi,5,setahun lalu,"Suasana nyaman untuk bersantai bersama keluarga atau teman.
Terimakasih atas segala pelayanannya."
Widya Arista Candra,5,5 tahun lalu,"Tempatnya bagus banget..
Recommended..
Asri, makanannya enak, untuk konsep kayak gini sih masih termasuk terjangkau, apalagi untuk ukuran hotel di batu..
Kolam renang e rajin banget dibersihin, airnya langsung dari sumber jadi gak bau kaporit..
Kamarnya nyaman, pelayanan ramah dan cepat..
TOP pokoknya.."
Yuni Asri,5,setahun lalu,Tempat penginapan keluarga yg nyaman dengan view pedesaan
Syaharuddin Umngelo,4,6 tahun lalu,"Alternatif tujuan wisata di kota Batu yang sangat disarankan. Murah meriah, makanan juga banyak pilihan, harga tiket masuk juga terjangkau serta ada penginapan dg nuansa alami."
iis aisyah,4,7 tahun lalu,"taman dolan, disini anak2 bisa berenang sepuasnya ada kolam renang khusus balita,toiletnya cukup bersih,gasebo,tempat makan,pendopo,outbound,mainan tradisional(gak sempat bermain keburu sore)okelah buat keluarga bersantai tempatnya sangat tenang dan nyaman."
rizky kevyn,5,4 tahun lalu,"Baru pertama kesini  pas wktu ppkm.. Jd kolam renangnya msh tutup. Suasana pedesaan bgt.
Lain kali mau nyoba staycation dsni.."
Nani Ismiyanti,4,5 tahun lalu,"Lumayan lah tempatnya,cman masih banyak tempat yg harus diperbaiki kayak nya,pelayan rumah makannya lumayan lama,plus harganya itu ,maaahaaal bingit"
Sikhar Ulni,5,7 tahun lalu,"Tempatnya nyaman,bersih,pelayanan'nya gk di ragukan.untuk harganya jg gk bkin kantong bolong,recomended la pokoknya"
Shanty Febyarti,4,5 tahun lalu,"Tempat edukasi yg bagus utk outbound anak, rasa menu makanan ok meski agak lama keluarnya, customer service excellent"
ervina rahma,5,5 tahun lalu,cocok bangey buat kalian yang suka renang .tiketnya murah dna terjangkau sekaligus startegis banget
Susan Fan,2,4 tahun lalu,"Sebenarnya konsepnya oke, alami dan asri. sayangnya lokasi kolam renang dan restoran tidak terpisah sehingga kalau kolam sedang ramai memang sedikit terganggu. Untuk yang bawa orang tua mungkin bisa jadi pertimbangan karena untuk menuju ke resto nya harus berjalan ke bawah agak jauh dengan banyak tangga. Mungkin bisa reservasi sebelumnya untuk bisa dapat lokasi agak di atas. Makanan standard dan agak overpriced"
Nugraha Setiawan,5,Diedit 5 tahun lalu,"Recommended banget.
Cocok buat yang suka suasana alam.
Menu makanannya enak. Pas sekali porsinya."
Tasyia Dev,5,5 tahun lalu,"Bagus banget, kolam renang nya dingin seger buat ngilangin stres, ada resort nya, ada juga cave nya lengkap polll😀 …"
era ajeng,5,Diedit 6 tahun lalu,"Tempatnya bersih & bagus ,  harga makanan terjangkau, kolam renangnya bagus bgt natural gt konsepnya..."
Bang O'cun,1,3 tahun lalu,Kecewa karena samping kamar ada pembakaran lahan dan asap masuk kamar. Padahal saya bawa anak kecil dan istri yang hamil.
dhebys suryani,5,6 tahun lalu,"Taman dolan adalah salah satu wisata edukasi d batu,bisa untuk outbond anak dan dewasa.cocok juga untuk wisata kelurga"
silvia nauliand,5,6 tahun lalu,Harga terjangkau. Pemandangan bagus.. pelayanan nya apalagi kerennn jam 12 malam saya kelaparan seharusnya mereka tdk bisa order .. di coba cari tmpt lain gofood  tdk terima alhasil dapur penginapan ini bersedia buatkan nasi goreng untuk saya.. good lah pokoknya😁😊😊😊😊 …
Fajarwati Nurjadidah,5,6 tahun lalu,"tempat makan sekaligus tempat hiburan keluarga yang menyediakan tempat renang, untuk anak-anak maupun dewasa. suasana asri di pinggir sawah, sambil menikmati hidangan makanan yang lezat, dan yang pasti ramah di kantong"
Tri Yanto,4,4 tahun lalu,Penginapan yang pas buat sekedar mampir menghilangkan penat saat lg jalan2 ke Batu. Vasilitas kamar penginapan perlu ditingkatkan
Sudiyo Bin Darum,4,4 tahun lalu,"Benar penginapan didesain kembali kealam..
Masih fresh desa bahkan sebelah kamar terdengar gemercik air mengalir dari sungai
Desain kamar juga juga menyesuaikan kondisi desa waktu dulu
Saran
Tolilet kurang luas dan perabot minimalis
Air menetes bukan mengalir
Air panas sangat minim"
Cheppy Juwita,5,3 tahun lalu,"Menu yg kita pesen lalapan,, lucu banget piring sama tremosnya,, vintage2 gitulah,, view juga mayan bagus.."
Nigi,4,10 bulan lalu,"Tempatnya oke banget buat acara outbond
Hanya saja harus hati² ya kl ajak anak kecil kesini..tangga curam dan jalan agak sempit..
Ada satu yg bisa sy sarankan. Apabila ada yg reservasi utk outbond harusnya dipilihkan tempat aja.
Kmrn sy dan rombongan disuruh pindah ke tempat lain saat di tengah² acara sm salah satu petugas. Alasannya di tempat yg kami tempati ada colokannya. Dan kami diminta pindah yg gak ada colokannya padahal jelas² kami butuh colokan krn bawa speaker. Lalu dengan seenaknya bilang kami hanya reservasi utk makan aja tanpa sewa tempat outbond. Setelah konfirmasi sana sini dan agak sedikit debat akhirnya kami gak jadi diminta pindah.
Tau apa akibatnya? Itu merusak keseruan permainan kami. Lagi enak² maen tiba² didatangi 3 petugas.
Saran sy:
1. Semua orang yg sewa tempat outbond pasti butuh banget colokan jadi tolonglah dilengkapi semua dengan colokan. Bukannya meminta pelanggan untuk pindah di tengah acara.
2. Pilihkan saja tempat outbondnya biar gak rebutan atau cari sana sini. Dengan catatan fasilitasnya sama di setiap tempat. Dengan begitu kejadian kyk gitu gak akan pernah terjadi.
Tapi overall is well. Makanan enak pol. Semua cocok bahkan ada yg nambah².
Pertahankan ya pelayanan yg baiknya dan diperbaiki yg kurang.
Laris terus, Taman Dolan.."
Edi Sutrisno,5,5 tahun lalu,"asik, nyaman dan ekonomis, cocok untuk romobongan anak sekolah atau pun keluarga, bisa outbond jg"
Suryani SH,4,6 tahun lalu,Suasana pedesaan.. Hijau banyak daun daunnya.. Ada bale bale buat duduk istirahat  ..pemandangan alam banget.. Ada sawah gunung dan suara gemercik air.. Nyaman deh..
Pratiwi galuh putri,5,5 tahun lalu,"view pedesaan bgt, alami, kamar juga lumayan, makanan enak
harga nya dari 350-800"
Ahmad Naholi,5,5 tahun lalu,Suasana bagus bagi yg senang pemamdangan pedesaan....pelayanan ramah2...recomend
Aan Marzuki,4,4 tahun lalu,"Wisata alam yang terletak di batu, ada banyak fasilitas, seperti resort harga mulai sekitar 300k/night include breakfast, river tube dan lain lain. Lokasi mudah ditemukan karena di pinggir jalan raya. Security nya ramah dan helpfull banget"
Farah Diba,5,2 tahun lalu,"Pelayanannya ramah,tempatnya maa saya Allah nyaman banget,suasana pedesaan nya dapet banget,saya suami & anak anak suka sekali😍😍"
noel chanel,5,7 tahun lalu,"Cocok untuk anak anak TK dan SD, banyak outbond yg di sediakan dan kolam renang anak"
diana shafa15,2,7 bulan lalu,"Biasa aja, g jelas..."
Robbany Illiyin (Bunny),4,7 tahun lalu,"Enak bgt sebelah kolam renangnya langsung ngadep sawah, pemandangan yg ga bisa di dapet di surabaya hehehee
Kalo beli paket makannya, kita udah free entry buat 5 orang yah. Kl emang peserta lbh dr 5 orang ya kena biaya tambahan per orang 10rb (saya ksni tgl 25/8/18)
Pssstt, ayam ingkung bakarnya endulll sarendull loh"
widhijanto kusuma,5,2 tahun lalu,Cocok untuk tinggal bersama keluarga. Anak anak bisa bermain sengan alam. Recomended
Rennita Sandy,4,8 tahun lalu,Salah satu obyek wisata di kota Batu yg layak dikunjungi.. Tempatnya nyaman..  Makanan murah..  Harga tiket masuk cm 10rb.  Terjangkau utk smua kalangan.. Cm 1 aja kekurangannya lahan parkir yg relatif sempit
Made Agus,5,setahun lalu,"Asri banget d sini,, pemandangan sawah pas d depan kamar,,"
Aktivitas EdoMitaGita,4,6 tahun lalu,"Menginap di sini semalam, bisa menikmati suasana alam pedesaan. Ada kolam renang dari sumber air alami. So fresh. Pemandangannya juga cantik dengan pegunungan dan sawah terasiring."
Putri Baina Rahma,5,5 tahun lalu,"View nya ciamik, cocok buat mencari ketenangan ditengah rutinitas
Arena bermain tradisional cukup luas
Bisa untuk menghabiskan akhir pekan bersama keluarga"
FARID WAJDI,4,7 tahun lalu,"Ada kolam renang juga ada pemandangan yg indah, ada penginapan. Kalau mau nginap, ada juga tempat outbond tapi saya outbond ya kurang dirawat ada yang rusak"
Nur Hidayat,3,6 bulan lalu,Pesan makan disini dari jam 9. Sampe jam 10 belum datang juga. Not recommended
nur wijayanto,4,6 tahun lalu,Tempat sih ok. Yg seru itu outbond (untuk anak2)
Putri Indah,5,2 tahun lalu,"suasana nyaman , sejuk , seperti d pedesaan"
Isna Zulfa,5,6 tahun lalu,"Pemandangan alam dipadu suasana asri pedesaan beserta ramahnya petugas disini, membuat taman ini begitu istimewa.. Bisa menginap dengan pilihan ruang yg semuanya berkesan."
Daniel Arian,3,7 tahun lalu,"Makanan nya kurang mantap, buat keluarga okey aja. Nasi nya seharusnya di wakul agar lebih tradisional. Tersedia outbond ground dan guest house"
Cindy Harwindi Chrismonita,3,11 bulan lalu,"beberapa bulan lalu nginep disini hari biasa. bayangin ga ada yang booking ,cuma aku dan suami sendiri berasa tinggal dirumah horror😂
pas balik ngafe pulang agak malam merinding karena sepi dan gelap.
lalu istirahat tiba2 terbangun karena tv tiba2 channel horor😂 makin ga bisa tidur. suami jadinya begadang sampek pagi katanya tv nya pindah chanel sendiri😂 kalau kapok sih enggak ya, kalau kesitu weekend aja ga berani hari biasa karena penakut🥶."
Mey Wahyuni,5,7 tahun lalu,"Tempat rekreasi yg murah meriah, tiket masuk 10k/org dan parkir 2k
Fasilitas disini ada cafe, kolam renang anak dan dewasa, outbound, penginapan, Gasebo untuk acara-acara ( seminar, ultah, reuni dll )
Cuma kolam untuk dewasa kurang besar, tapi gpp karena memang msh tahap pembangunan, udaranya sejuk enak buat nyantai-nyantai. Boleh di coba guys."
anggara jaya wardhana,5,7 tahun lalu,"tempat wisata bernuansa alam,menggunakan air sumber untuk air kolamnya,segeer...."
Kasandra Original,2,11 bulan lalu,"Qt ber 5 ke tmn dolan utk membunuh wkt sambil nunggu wkt check in du Batu Paradise yg tertera di invoice jam 15.00. Dtg kesini hny utk renang, stlh bayar utk 4 dewasa dan 1 balita plus ppn ...ternyata kolamnya kuotooorrr paraahh. Akhirnya qt kluar n minta uang dikembalikan lalu qt cabut langsung ke BP. Smg lbh diperhatikan kebersihan kolam renang, & ketinggian kolam hny layak utk anak2."
doddy tatag,3,6 tahun lalu,"Suasana enak, utk outbond jg enak sayang tempatnya agak suram keliatannya kurang nyaman"
Laili Kurniawati,5,Diedit 7 tahun lalu,Nice place suasana pedesaan lengkap fasilitas dan harga yang bagus
"Akhmad Irsyad Izar Habibi, S S",5,4 tahun lalu,"Tempat Weekend paling favorit,nuansa alam dengan acara outbond makin manthab....
Thanks Masakan sama games Outbondnya seru banget... Momentum PT Mazta Farma Outbond di lokasi Taman Ndolan"
parka dinar,5,6 bulan lalu,Keren banget dan hawanya segar
Hardi lombok Tour Travel,5,6 tahun lalu,"Rasakan sensasi dan suasana yang begitu sejuk dengan di hiasi pemandangan yang hijau
Desa wisata taman dolan, pandan Rejo Batu Malang."
dhimas pramudyo,5,5 tahun lalu,Resort keluarga yg terjangkau dan memiliki konsep yg dekat dengan alam
Shirley Megawati,4,5 tahun lalu,Suasana pedesaan... Rumah dr kayu... Masih alami.... Breakfast sederhana makanan khas indonesia tp rasanya enak
Bi Chan and her amazing world,2,10 bulan lalu,"Kotor, tidak terawat, mainannya bapuk semua, kolam renang kotor entah kapan terakhir kali dikuras, cuma betah 10 menit disini langsung cari obyek wisata alam lain."
rizky ayu,5,7 tahun lalu,"Sukaa bgt renang disini.. Apalagi berangkat pagi dr rumah jd lbh tenang dan sepi.. Airnya sejuk segar, ada banyak fasilitasnya jugaa"
Nanang S,5,2 tahun lalu,"Tempat yg asyik untuk outbond bersama teman maupun keluarga dengan dipandu instruktur yg ramah, hawa sejuk khas kota Batu dan lokasi pinggir jalan karangploso arah selecta."
Eko Apriadi,5,3 bulan lalu,"Nyaman,'cocok untuk liburan keluarga salam dari lampung"
Prasetyo Sptiawan,5,5 tahun lalu,"Penginapan yg sangat nyaman,cocok untuk menikmati hidup."
Jaka Iqbal Sagita,5,setahun lalu,"Tempat nyaman banget, dilengkapi kolam renang untuk anak""dan dewasa"
rey Nand,4,7 tahun lalu,Tempatnya nyaman murah ada vila ada resto ada kolam renang kekurangannya mungkin kurang luas
Sa If,4,3 tahun lalu,Yaa lumayan. Meskipun customer service nya lambat. Di telpon nggak diangkat sama sekali. Tempatnya luas bersih nyaman.
Yoga Sanyoto,4,5 tahun lalu,"Kolam renang dari sumber Mata aer pedesaan, Sayang kebersihan sampah kurang maksimal"
Pandu Wiguna,4,Diedit 3 tahun lalu,Tempat yang lumayan bagus untuk liburan cari ketenangan. Jangan terlalu berharap banyak dengan fasilitasnya.
Atiqotun Niswah,5,2 tahun lalu,"Ada kolam, penginapan, gubug buat Leyeh-leyeh juga ada. Luas areanya, tapi berkelok dan berundak jdi perlu hati-hati."
UDIN,5,5 tahun lalu,"Tempatny sangat nyaman buat bermain dan istrht, kurang kolam pancing dan semoga bisa terwujud amien
Karyawan dan karyawatiny ramah# pengen kesana lagi ngajak liburan keluarga"
Endah Desi Ariana,5,4 tahun lalu,"Tempatnya sejuk, seger, adem, cm kmren pas kesana hujan dan angin lumayan kenceng."
Djohansyah Leatemia,5,7 tahun lalu,Bagus.... Lumayan... Cuma tempat nya agak kecil kalau pas ramai agak susah cari tempat santai di pinggir kolam renang.... Suasana nya mantap
Sany Bhazten,4,6 tahun lalu,Bagus untuk outbond suasana pedesaanx dpt sekali
marisca benedicta,5,7 tahun lalu,"tempat yg bagus dan tepat untuk out bond anak"" 👍👍,, seneng banget di Taman Dolan 😊😊😍😍 …"
Dedy F.Kurnain,5,2 tahun lalu,Taman bermain dan kolam renang bisa difungsikan lagi ya
Montes Universe,2,6 tahun lalu,"Kecewa bgt dg kualitas makanannya..
Gurami nya banges alias udah relatif berasa busuk tetep aja di sajikan, mahal mahal jadi gak kemakan...
Kopi dan es teh aja jg mahal 10k, ati ampela disajikan tp empedu tidak dibuang, pait bosss empedu itu gmn koki nya ini..

Mushola kurang di pergatikan kualitasnya jg"
nuretha purwaningtyas,4,8 tahun lalu,Sekedar melepaskan penat dengan bermain dan berenang bersama anak-anak... cukup nyaman lah yaa... mau nge-dongkrong lunch and ngopi juga scene nya lumayan... hawanya sejuk pula
Dhewi Aris,4,4 tahun lalu,"Tempat pemandian yg masih menyuguhkan kesegaran air asli sumber yg pastinya segar , tempatnya juga
Enak untk bersantai bersama keluarga"
Iis Aisyah,4,7 tahun lalu,"tempatnya nyaman gak begitu ramai,jadinya tenang,banyak tanaman seger,kamarmandinya bersih,kolam renanngnya juga bersih,yang penting anak2 suka"
siti rahayu,5,setahun lalu,Sangat menyenangkan bisa bekerjasama dg taman dolan untuk kegiatan OUTDOOR LEARNINGbagi siswa kami kelas 1-5 pelayanan memuaskan dgn sgala fasilitas yg mendukung. Untuk lunch jg ramah di perut. Thanks Taman Dolan
joelis setijowati,5,5 tahun lalu,Tempat yang asyik dan menyenangkan untuk berinteraksi dengan alam bermain di sungai bersama
Novi Eka Sulistiawati,5,setahun lalu,Ke taman dolan mengantar siswa-siswi kami outbond
Rudy Setyawan,5,2 tahun lalu,"Taman dolan... tematik jawa kuno.. bangunan dua lantai dengan barak kasur, cocok buat grup /rombongan 15 orang.. plus sarapan. Suasana nyaman..."
Fauzi Sabul,5,6 tahun lalu,Tempatnya bagus... Harga kolam renang terjangkau makanannya enak
Siti Rochimah,5,Diedit 8 bulan lalu,Outbondnya seru sekali. Tidak ada waktu untuk bosan
Ridlo Nasrul,5,7 tahun lalu,Suasana wisata yang asri. Cocok utk menenangkan diri dan refreshing
Linda,5,7 tahun lalu,"Camping ground,,
Quality time family
Villa keluarga
Taman bermain anak
Milan renang
Outbound"
Agus Irwan,4,7 tahun lalu,Suasananya bagus.. Pelayanannya Ramah.. Tempatnya enak.. Parkirnya kurang memadai.. Over all. Okelah..
Achmad Helmi,5,2 tahun lalu,"Tempat yang menyenangkan, cocok untuk rekreasi, outbond, staycation dan yang paling penting stafnya ramah tamah dan humble"
Mirza Tamma,5,6 tahun lalu,"Seru outbound nya...
Mkanan enak bnget harga terjangkau
Penginapan yg sangat berbeda dr pnginaan2 lain dgn tema yg pyur alam dan pemandangan yang sangat natural dan menyatu dgn alam.....keren wajib coba"
Ayah Yazid,5,3 tahun lalu,"Suara aliran sungai bikin tidur nyenyak.
Bersih, unik, antik, pemandangan indah"
diah apriliana,4,6 tahun lalu,"View sawah, menyegarkan mata hati dan pikiran, fresh udaranya"
Boedie Tok,4,5 tahun lalu,"Kapan2 mau ke tempat ini lagi, suasana suantai....udara sejuk...."
Jenk Ree,5,setahun lalu,"View ya keren ,asik buat kumpul teman ,atopun keluarga"
Daffa Adipratama,5,7 tahun lalu,Tempatnya sangat bagus cocok untuk penginapan sama teman-teman
ud1N,5,3 tahun lalu,"Tempatnya nyaman & sejuk, makanannya lumayan lahhh. Klo kesini lbh baik jgn pas long weekend."
Fitria Muji Lestari,5,6 tahun lalu,"Suip pokoknya, untuk river stubing bagus untuk latihan uji nyali PAUD"
Wahyu,5,4 tahun lalu,"Masakan enak, harga relatif murah, tempat mantul
Rekomended, besok2 kesini lagi"
Hasna Hanan,4,2 tahun lalu,Kurang suka sama tata letak kolam renang nya 😁 selain itu gak ada masalah 👍👍👍
Bukhori channel,5,4 tahun lalu,"Cocok buat wisata keluarga, masakannya lumayan enak, mantap pokoknya."
Zainul nul,1,setahun lalu,"Maaf saya kasih bintang 1 karena saya melihat banyak hewan contohnya musang yg dipelihara sampai kelaparan dan kehausan karena tidak dikasih makan dan minum, setidaknya kalau memang tidak ada petugas yang mau merawat mending dilepaskan dan tidak usah ada taman edukasi hewan, jadi tolong manajemennya diperbaiki lagi"
tanti wahyuni,1,setahun lalu,"Maaf saya kasih bintang satu. ini resto pelayanan terburuk yg saya jumpai.. nunggu makanan 1,5 jam minum pun tidak dikeluarkan dulu.. nunggu marah2 pas di sajikan ternyata masih dingin ayam nya seperti keluar dari frezer
Kalau ndak siap terima order ya harus nya close order dulu.. di cancel pun tidak bisa"
Fathurochman -,5,setahun lalu,recomended... buat ngopi degan view alam
Anindra 12ra07t5,2,10 bulan lalu,"Kurang bersih baik area kolam campur popmie,kamar mandi kotor,mushola kotor,ruang bilas lubang dan banyak kotoran..saran jaga kebersihan ya kak..sayang sekali.."
Is Ti,5,4 bulan lalu,Cocok untuk anak karena tempatnya benar benar sangat asri
Ellyza Prihatini,5,7 tahun lalu,Serasa hidup didesa...suasananya enak cmn pas kbtulam lagi gk hujan jdi agak panas...
Moch Irfan,3,8 tahun lalu,Tempat bagus... Pelayanan kurang..pengen makan gk ada yg nawarin... Next ditunggu perkembangannya
Ryan Rianto,5,5 tahun lalu,Tempat menginap dan refresing yg sejuk dan asri.....
Arif Wibowo,4,5 tahun lalu,Tempat penginapan bernuansa pedesaan sekaligus sebagai tempat outbond
Aminah Haneman,5,4 tahun lalu,Tempat plesir syariah bersama keluarga yg betul2 nikmat makan depan area tanam selada air
eko jodi,5,4 tahun lalu,suasana paling enak buat refresh otak.
Ahnaf Farel,1,setahun lalu,"Mas atau mbak yang bertugas, minta tolong merawat kucing yang ada di atas musholla, kasihan mas atau mbak dia kedinginan sampai saya tadi ke kucing tersebut, saya mau kasih foto kucing nya tapi ngga bisa di taruh di postingan
Jadi saya minta tolong merawat kucing tersebut sampai dewasa
Mohon peduli juga terhadap mahkluk hidup🙏
terima kasih 🙏"
Restu Afifyanto,1,10 bulan lalu,sudah tau properti yg dibawa anak anak ada membawa sepatu sandal...malah ga ditanyakan...malah pake sepatu disuruh langsung turun ke air dengan pake sepatu
Tontowi Jauhari,3,2 tahun lalu,"Kalo utk tempat, persis di daerah persawahan, alami
Wifi kuat, TV sudah Android,

Tetapi ada beberapa hal yang perlu diperhatikan
1. Lokasi registrasi, jauh dengan parkiran mobil. Jadi setelah registrasi, masih harus naik mobil ke belakang utk bisa akses parkiran mobil. Tidak one stop sistem
2. Air panasnya tidak konsisten. Bisa tiba2 dingin, bisa tiba2 sangat panas, hal ini karena pemanas di kamar mandi menggunakan GAS, bukan LISTRIK.
3. Kurang Meja di dalam kamar
4. Pesanan makan malam tidak sesuai dengan yang dipesan/ tidak sesuai antara yg kami pesan dengan yang dihidangkan/ dikirim
5. Kehabisan menu makanan waktu sarapan. Dan koki sarapan tidak memasak makanan yg sudah habis
6. Staff beberapa kali terlihat tidak serius dalam bekerja, bercanda, padahal kami sebagai customer sedang menunggu kerjaan staf tsb"
Maria Ulfatul Jamila,4,6 tahun lalu,Bagus. Bisa buat acara keluarga arau acara pelatihan
M. Junianto Tri Gunawan,5,sebulan lalu,Syahdu untuk makan siang bersama rombongan
Rahayu Dwi,5,6 bulan lalu,"Tempat nyaman, tenang, asri"
hello afs,3,Diedit 6 tahun lalu,tempatnya bagus strategis dan biaya masuk terjangkau.
Andy Kurniawan,5,6 bulan lalu,"Staycation yg asri, nyaman, bersih, udara segar & nuansa alam. Keren."
Dina Aulia,5,4 tahun lalu,"Penginapan nyaman, bersih, karyawan ramah makanan enak toplah"
Rafa zainul,1,5 bulan lalu,"tempatnya si oke, tapi sya mendapatkan pelayanan yang kurang"
Rizal Pramita,5,setahun lalu,Tempat nyaman buat menginap dengan pemandangan alam yang cantik dan harga yabg relatif murah. Makanan enak dan banyak variantnya. Next perlu dicoba susur sungai
Rodex Wulan,5,setahun lalu,Suasana yang nyaman dan pelayanan ramah membuat pengalaman makan di sini sangat menyenangkan. Menu mereka yang beragam dan harga yang terjangkau membuat restoran ini layak untuk dikunjungi lagi dan lagi.
Mamim Zum,5,6 tahun lalu,Tempat edukasi dan rekreasi dengan konsep permainan tradisional.
Yayuk Soeharto Poetrie,2,setahun lalu,"View bagus,adem diluar.sewa kamar family room muat 4 orang 750+ppn 10% gak ada ac/kipas.alhasil bocil tidur rewel n badanny basah karna keringat,,breakfast cuma dijatah 2 orang aja,tambah piring nambah duit🫣 dapatnya hanya breakfast,,tidak ada lunch ataupun dinner😁😁so +snack n makanan jadi keluar uang lagi n kesannya jdi mahal krna beli dari luar tidak boleh🤭
Dihotel yg ono 1,2jt 4 orang udah dapat semuanya,mulai tour guide  breakfast,lunch,dinner,menu prasmanan mewah,paket ke kebun petik apel,jambu,playground anak"" renang sepuasnya..
Its ok gpp,,kalo gak gitu gak bakal tau n gk bisa bandingin.
Terimakasih pelayanan di sini sangat baik,gercep n ramah,,cuma ya itu tdi fasilitas kamar kurang😊🙏"
Anto Sanjaya,4,5 tahun lalu,"Pelayanan oks banget, ramah.. suasana pedesaan alami.."
Aulia rohmah,5,2 tahun lalu,"Kalau malam viewnya baguuus sekali.. sejuuuk,. Pemandangan baguuus., Recomend puoll"
Rudi Anto,4,7 tahun lalu,"lokasi sejuk, air melimpah, makanan enak"
M 15W4HYUD1,4,7 tahun lalu,Cocok buat yang lagi kepanasan dan ingin merasakan kesegaran. Tempatnya pun mudah dijangkau
Bunda,5,2 tahun lalu,"Pernah menginap disini. Tempatnya keren ya model pedesaan. Bagi yg penakut n tdk suka pedesaan lbh baik memilih tempat lain.

Model2 rumah kayu dan kamar mandi pun minimalis. Jika kondisi ramai pengunjung berisik ya tdk bs beristirahat 😁

Oitbond disini kata anak2ku really fun ... krn mereka semua kebetulan suka adventure. Jd malah minta lagi lagi dan lagi outbond nya

Kmrn outbond ambil paket yg dewasa dan full paket @175rb dg river tubbing flying fox dan x mission. N they are really excited n want more 😘🥰😍"
Moh Argus,5,6 tahun lalu,Rumah makan taman dolan bagus dan cocok bagi kalian yang mau outbon jugaa....
Aprelia Anggi,5,2 tahun lalu,Tempatnya ramah. Bagus untuk keluarga
Dias CP,5,7 bulan lalu,"Nice place with nice view, green and clean..good job👏
recommended buat keluarga atau gathering lainnya"
Basuki,5,setahun lalu,"Nyaman, pelayananya sangat membatu.."
Muji Muji,3,6 tahun lalu,"Kurang mengerti dengan konsepny, peralatan outbond pun kurang terawat. Bintang 3 saja"
Ade Niken,5,7 tahun lalu,"Wisata edukasi tradisional,tempat mudah dicari,recomended banget deh pokoknya"
Caca Ayu,5,5 tahun lalu,Tempat berlibur yg pas di kantong....kamar dan makanan harga terjangkau....
nunuk suryanti,5,4 tahun lalu,Sdh 4x ke taman dolan...bagus...pelayanan ramah....dan harga terjangkau..cocok utk refresing bersama keluarga
Retno Wulan Wijayanti,4,4 tahun lalu,Tempat asri adem...lengkap dengan kolam renang...cocok untuk bersantai dengan keluarga...
Damayanti,5,5 tahun lalu,"Murah,trmpatnya enak,banyak spot foto,bisa beli sayur slada"
Zulkifli R,5,setahun lalu,"2x nginap rame2 sama keluarga di room barak & omah dalem,lalu 1x perpisahan sama kawan2 kuliah dl,g pernah bosan dengan view yg disajikan oleh taman dolan,apalg bs ajak keluarga besar disini selalu menyenangkan,spt privat villa sendiri"
Luky Anugerah Subhi,5,setahun lalu,"Walaupun ada sedikit miss komunikasi tentang pemesanan kamar, tapi pihak taman dolan berupaya dan bertanggung jawab atas kelalaiannya demi kepuasan pelanggan.
Terimakasih taman dolan tempat ini recommended banget buat liburan
Skuy dolan rek 👍👍👍 …"
Andri Nova,4,6 tahun lalu,Tempat liburan keluarga .  Terutama anak kecil.ada kolam renang nya juga.
Sang Lakone,3,7 tahun lalu,"Pelayanannya terutama pramusaji kurang greget, kali belakang juga kurang bersih atau kotor."
Fauzan Rahardian,3,11 bulan lalu,"Tidak rekomen. Sistem kerja membingungkan. Makanan datang lama, begitu datang sudah dingin. Tempat terlalu campur aduk."
Mayta Rezka Hidayati,5,6 tahun lalu,Tempat yg bagus bt edukasi dan outbond bt anak2....
Family backpacker jatim,4,6 tahun lalu,"baru pertama kali kesini, tempat oke hrga murah. mantaappp..."
Susi Aura,5,setahun lalu,Tempanya asri sejuk nuansa perdesaan yg kental
joe milany,4,6 tahun lalu,"nyaman bagi yg ingin menenangkan pikiran,asri banget"
